,No Data,Criminal Procedure,Civil Rights,First Amendment,Due Process,Privacy,Attorneys,Unions,Economic Activity,Judicial Power,Federalism,Interstate Relations,Federal Taxation,Miscellaneous,Private Action
1791,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1792,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1793,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
1794,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1795,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0
1796,0,0,0,0,1,0,1,0,6,6,1,0,1,0,0
1797,0,1,1,0,1,0,0,0,1,4,0,0,0,0,0
1798,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1
1799,0,0,1,0,1,0,0,0,0,4,0,0,0,0,1
1800,0,0,0,0,1,0,0,0,2,6,0,0,0,0,0
1801,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3
1803,0,0,1,0,0,0,0,0,3,9,0,0,0,0,6
1804,0,0,1,0,0,0,0,0,2,6,0,0,1,1,4
1805,0,0,4,0,0,0,1,0,3,5,0,0,2,0,8
1806,0,1,3,0,1,0,0,0,6,3,1,0,0,0,12
1807,0,3,0,0,1,0,0,0,6,9,1,0,2,0,21
1808,0,0,1,0,1,0,0,0,3,1,0,0,0,0,3
1809,0,3,2,0,1,0,0,0,6,15,2,0,3,0,14
1810,0,1,3,0,2,0,0,0,7,9,0,0,0,0,16
1812,0,3,1,1,0,0,0,0,8,12,1,0,0,0,14
1813,0,0,4,0,0,0,0,0,19,10,1,0,2,0,10
1814,0,0,1,0,19,0,0,0,6,4,0,0,2,1,14
1815,0,2,0,2,6,0,0,0,10,3,0,0,4,0,14
1816,0,1,3,0,7,0,0,0,6,8,0,0,1,0,16
1817,0,1,1,0,3,0,0,0,6,9,1,0,2,0,19
1818,0,0,0,0,4,0,0,0,11,7,1,0,2,0,13
1819,0,0,0,0,4,0,0,0,6,5,1,0,3,0,14
1820,0,3,1,0,6,0,0,0,2,3,1,1,1,0,9
1821,0,0,1,0,7,0,0,0,7,12,1,0,3,0,10
1822,0,2,1,0,5,0,0,0,4,5,0,0,0,0,15
1823,0,0,5,0,4,0,0,0,10,2,0,0,0,0,8
1824,0,1,3,1,2,0,1,0,6,9,1,0,3,0,14
1825,0,0,3,0,1,0,0,0,6,6,2,0,1,0,8
1826,0,3,3,0,0,0,0,0,5,6,0,0,1,0,15
1827,0,2,6,0,1,0,0,0,10,9,0,0,1,1,17
1828,0,4,2,0,1,0,0,0,7,12,2,0,1,0,26
1829,0,2,6,0,2,0,0,0,3,10,2,0,0,0,19
1830,0,1,6,0,3,0,1,0,11,11,1,0,4,0,19
1831,0,2,3,0,0,0,0,0,4,8,0,0,2,1,22
1832,0,4,5,0,3,0,0,0,2,20,0,1,2,1,18
1833,0,4,2,0,4,0,0,0,6,12,1,1,1,0,10
1834,0,4,2,0,1,0,0,0,17,14,1,0,4,0,21
1835,0,4,2,0,1,0,0,0,8,6,0,0,1,0,16
1836,0,3,5,0,2,0,0,0,15,11,1,0,1,0,13
1837,0,0,1,0,0,0,0,0,5,6,0,0,0,1,7
1838,0,3,1,0,2,0,0,0,5,13,0,2,1,0,15
1839,0,1,2,0,0,0,0,0,10,10,2,2,2,0,21
1840,0,1,3,0,1,0,0,0,8,9,2,1,0,1,17
1841,0,0,4,0,1,0,1,0,9,6,0,1,3,0,6
1842,0,3,5,0,0,0,0,0,12,9,3,0,2,0,10
1843,0,0,1,0,0,0,0,0,9,9,2,0,0,0,13
1844,0,1,5,0,1,0,0,0,6,11,3,0,0,0,12
1845,0,1,2,2,0,0,0,0,14,10,4,0,5,0,14
1846,0,1,2,0,0,0,0,0,15,10,1,1,2,0,15
1847,0,3,4,0,1,0,0,0,7,11,2,0,0,0,8
1848,0,1,8,0,2,0,0,0,7,9,1,1,0,0,7
1849,0,0,2,0,0,0,0,0,12,14,2,1,1,0,10
1850,0,6,8,0,4,0,1,0,60,37,5,1,6,1,39
1851,0,0,5,0,3,0,0,0,34,17,4,1,4,0,30
1852,0,1,6,0,6,0,0,0,16,13,1,0,0,0,16
1853,0,2,5,0,0,0,0,1,29,17,0,0,5,0,22
1854,0,2,3,0,5,1,1,0,21,17,0,1,5,0,15
1855,0,4,4,0,2,0,0,0,28,29,5,0,2,0,18
1856,0,1,6,0,2,0,2,0,20,11,0,0,1,0,21
1857,0,2,1,0,3,0,1,0,15,30,4,0,1,0,16
1858,0,0,2,0,1,0,1,0,19,17,2,0,1,0,26
1859,0,1,3,0,0,0,0,0,43,25,7,1,1,0,34
1860,0,1,5,0,0,0,0,0,20,18,1,1,2,0,20
1861,0,4,2,0,0,0,1,0,26,12,0,0,0,0,26
1862,0,1,1,0,0,0,0,0,10,16,1,0,1,1,11
1863,0,0,3,0,1,0,0,0,37,14,2,0,2,0,24
1864,0,1,5,0,6,0,1,0,11,15,2,0,0,0,18
1865,0,2,2,0,13,0,0,0,19,23,2,1,4,0,18
1866,0,2,5,2,13,0,0,0,35,36,4,0,4,3,30
1867,0,2,4,0,12,0,1,0,20,31,5,0,1,1,39
1868,0,3,4,0,4,0,3,0,29,39,5,0,2,1,18
1869,1,3,6,0,6,0,1,0,64,53,7,0,5,0,59
1870,0,3,1,0,7,0,1,0,38,40,3,2,5,0,35
1871,0,1,5,1,8,0,2,0,57,61,5,1,4,3,50
1872,0,7,6,1,4,0,0,0,71,50,0,0,15,2,42
1873,0,8,10,0,18,0,3,0,64,44,0,0,13,0,53
1874,0,2,17,0,6,0,2,0,61,44,1,0,11,3,52
1875,0,5,10,0,10,0,3,0,76,42,4,0,9,1,51
1876,0,5,13,0,7,0,2,1,76,63,5,0,11,1,58
1877,0,7,8,1,10,0,5,2,101,41,3,0,16,0,73
1878,0,10,14,1,7,0,1,0,85,47,3,0,16,1,40
1879,0,5,18,0,4,0,2,0,68,75,7,0,9,2,57
1880,0,8,10,0,4,0,1,0,78,69,1,0,11,2,53
1881,0,7,19,0,4,0,1,0,83,76,1,0,13,0,44
1882,0,10,17,0,5,0,2,0,73,81,2,1,22,0,49
1883,0,4,22,0,7,1,5,0,72,77,2,0,13,0,80
1884,0,11,17,0,8,0,0,1,84,75,5,0,5,0,66
1885,0,13,12,2,4,0,7,0,73,84,5,0,12,0,67
